enderecos,lon,lat,endereco_completo
"RUA VASCO ALVES, NUM 149 - CENTRO, Alegrete - RS, 97542-600",-55.7931384,-29.7839555,"RUA VASCO ALVES, NUM 149 - CENTRO, Alegrete - RS, 97542-600"
"RUA GENERAL VITORINO 1231 - RESTINGA SECA, Alegrete - RS, 97542-311",-55.799851,-29.780764,"RUA GENERAL VITORINO 1231 - RESTINGA SECA, Alegrete - RS, 97542-311"
"RUA GASPAR MARTINS, 337 - CENTRO, Alegrete - RS, 97542-000",-55.7948161,-29.7827503,"RUA GASPAR MARTINS, 337 - CENTRO, Alegrete - RS, 97542-000"
"RUA GASPAR MARTINS, 133 - CENTRO, Alegrete - RS, 97540-000",-55.7929355,-29.7833601,"RUA GASPAR MARTINS, 133 - CENTRO, Alegrete - RS, 97540-000"
"RUA GASPAR MARTINS, 183 - CENTRO, Alegrete - RS, 97542-000",-55.793407,-29.7833624,"RUA GASPAR MARTINS, 183 - CENTRO, Alegrete - RS, 97542-000"
"RUA GASPAR MARTINS, 18 - CENTRO, Alegrete - RS, 97542-001",-55.7915861,-29.7834209,"RUA GASPAR MARTINS, 18 - CENTRO, Alegrete - RS, 97542-001"
"AV. ASSIS BRASIL, 684 - CIDADE ALTA, Alegrete - RS, 97543-000",-55.8008131,-29.794667,"AV. ASSIS BRASIL, 684 - CIDADE ALTA, Alegrete - RS, 97543-000"
"RUA 15 DE NOVEMBRO, 1549 - CENTRO, Alegria - RS, 98905-000",-54.0562555,-27.8349502,"RUA 15 DE NOVEMBRO, 1549 - CENTRO, Alegria - RS, 98905-000"
"TV.COLOMBIANO MARVAO,312 - PLANALTO, Alenquer - PA, 68200-000",-54.735248,-1.9443272,"TV.COLOMBIANO MARVAO,312 - PLANALTO, Alenquer - PA, 68200-000"
"TRAV. LAURO SODRE, 740 - ANINGAL, Alenquer - PA, 68200-000",-54.7338723,-1.9450258,"TRAV. LAURO SODRE, 740 - ANINGAL, Alenquer - PA, 68200-000"
"TV. LAURO SODRE, 758 - PLANALTO, Alenquer - PA, 68200-000",-54.7342746,-1.9455912,"TV. LAURO SODRE, 758 - PLANALTO, Alenquer - PA, 68200-000"
"ESTRADA PAES DE CARVALHO, 841 - CENTRO, Alenquer - PA, 68200-000",-54.7349194,-1.9351539,"ESTRADA PAES DE CARVALHO, 841 - CENTRO, Alenquer - PA, 68200-000"
"R.DOM JOSE TOMAZ,347 - CENTRO, Alexandria - RN, 59965-000",-38.014155,-6.41527,"R.DOM JOSE TOMAZ,347 - CENTRO, Alexandria - RN, 59965-000"
"RUA JOAO BOTELHO DE ANDRADE,S/N - CENTRO, Alexânia - GO, 72930-000",-48.4577795,-16.101763,"RUA JOAO BOTELHO DE ANDRADE,S/N - CENTRO, Alexânia - GO, 72930-000"
"RUA 25 QUADRA 159 LOTE, 19 - NOVA FLÓRIDA CIDADE, Alexânia - GO, 72930-000",-48.5047323,-16.0873948,"RUA 25 QUADRA 159 LOTE, 19 - NOVA FLÓRIDA CIDADE, Alexânia - GO, 72930-000"
"RUA 20, Q 36 - LOTES 18, 19, 20 - SETOR CENTRAL, Alexânia - GO, 72930-000",-48.5091364,-16.0795574,"RUA 20, Q 36 - LOTES 18, 19, 20 - SETOR CENTRAL, Alexânia - GO, 72930-000"
